model,precision@5,recall@5,ndcg@5,precision@10,recall@10,ndcg@10,precision@20,recall@20,ndcg@20,coverage@10,diversity@10,novelty@10
popular,0.00588703261734288,0.02691593741713073,0.016906937126123036,0.00668257756563246,0.06298064173959161,0.028216051883145753,0.005051710421638823,0.09718907451604349,0.03723985214444258,0.0024,0.8449571289666755,0.060796119003631154
random,0.00015910898965791568,0.0007955449482895784,0.0007955449482895784,0.00015910898965791568,0.0015910898965791568,0.0010255090105949784,0.00023866348448687354,0.00477326968973747,0.0018533117458812978,0.9178,0.9485017236807213,0.6343201767852226
itemcf,0.021957040572792363,0.10647043224608856,0.09138587659213354,0.013285600636435958,0.12861309997348183,0.09855695350675502,0.007995226730310263,0.1556616282153275,0.1055744624367333,0.0866,0.8354813046937152,0.08864009423329766
usercf,0.022275258552108195,0.10806152214266772,0.09272764239303766,0.013285600636435958,0.12861309997348183,0.09938257116913958,0.007955449482895784,0.1548660832670379,0.10620544959623938,0.0936,0.8315212587288959,0.09717380319490249
svd,0.00031821797931583137,0.0015910898965791568,0.0010038659563587232,0.00031821797931583137,0.0031821797931583136,0.0014847965077538039,0.00031821797931583137,0.006364359586316627,0.002221597083829526,0.0198,0.983594095288606,0.5081870579929753
als,0.009228321400159108,0.04494828957836118,0.02951891211793238,0.006443914081145586,0.06324582338902147,0.03565919149450499,0.003977724741447892,0.07836117740652347,0.03958627649306144,0.018,0.8972863077875011,0.3482736149265642
content,0.011614956245027844,0.05767700875099443,0.042636402739833594,0.007955449482895784,0.0780959957570936,0.04922657588477367,0.0053699284009546535,0.10594006894722885,0.05620086068890461,0.5,0.6500486166357289,0.41232190097347743
hybrid,0.020365950676213208,0.09891275523733757,0.08059230726784618,0.013285600636435961,0.12901087244762663,0.0904444297453988,0.008552108194112968,0.16719702996552638,0.10018737967919676,0.1144,0.8344559356492531,0.09537031803013814
