model,precision@5,recall@5,ndcg@5,precision@10,recall@10,ndcg@10,precision@20,recall@20,ndcg@20,coverage@10,diversity@10,novelty@10
popular,0.003077753779697624,0.014983801295896328,0.009801593376987916,0.003266738660907128,0.031834953203743695,0.015317989271124287,0.0028820194384449245,0.05633549316054715,0.021462816088686127,0.0022,0.8444324454043677,0.05921451445128833
random,0.0001349892008639309,0.000607451403887689,0.0003895666883297453,0.0001349892008639309,0.0012823974082073434,0.00061233631719759,0.00014173866090712742,0.0026997840172786176,0.0009808293913475487,1.0,0.9486891048716103,0.6524118983865854
itemcf,0.003050755939524838,0.014848812095032398,0.009749372425687356,0.003266738660907128,0.031834953203743695,0.015310764720111704,0.0028820194384449245,0.05633549316054715,0.021452137486335923,0.0312,0.8442134629229662,0.06026055672238676
usercf,0.003050755939524838,0.014848812095032398,0.009749372425687356,0.003266738660907128,0.031834953203743695,0.015310764720111704,0.0028820194384449245,0.05633549316054715,0.021452137486335923,0.0392,0.8441324694024478,0.06057857793577543
svd,0.0003509719222462203,0.0017548596112311014,0.0008236096666173409,0.0003374730021598272,0.003374730021598272,0.0013410361462792549,0.0003239740820734342,0.0064794816414686825,0.0021119916189636235,0.0264,0.9586243100551955,0.5394944573693247
als,2.699784017278618e-05,0.0001349892008639309,8.516870323588789e-05,8.099352051835853e-05,0.0008099352051835853,0.00029809046132560764,0.0003172246220302376,0.006276997840172786,0.0015801824690940714,0.017,0.909659227261819,0.7627987882837958
content,0.0029967602591792655,0.014578833693304536,0.009494667673090899,0.003172246220302376,0.030890028797696183,0.014821814796350193,0.002834773218142549,0.05539056875449964,0.020959080423284565,0.0124,0.845164386849052,0.0695901180647657
hybrid,0.0035367170626349896,0.017278617710583154,0.009504520439493753,0.003266738660907128,0.031834953203743695,0.01413247929796354,0.0028482721382289415,0.05579553635709143,0.02015546102374838,0.0132,0.8445674346052316,0.059738529462327175
